Tax_Group,N50_Mb_mean,N50_Mb_median,Contigs_mean,Contigs_median,Complete_num_mean,Complete_num_median,Duplicated_num_mean,Duplicated_num_median,Total_length_Mb_mean,Total_length_Mb_median,GC_pct_mean,GC_pct_median
Mammals (哺乳类),134.07262951162792,122.208007,1062.7906976744187,143.0,99.73953488372094,100.0,5.455813953488372,5.5,2714.409843883721,2663.005763,41.712325581395355,41.66
Birds (鸟类),77.09629611111112,79.560102,416.55555555555554,298.5,99.22777777777777,99.6,1.6333333333333335,1.2,1257.2184615555555,1262.991559,43.007222222222225,42.915
Fish (鱼类),56.64107904166667,39.194920499999995,1479.9166666666667,303.5,99.40833333333335,100.0,9.758333333333333,3.3,1465.4625531666668,1024.5836055,41.907916666666665,41.405
Insects (昆虫类),76.47811691666668,25.878958,712.0833333333334,122.0,99.425,100.0,2.279166666666667,1.6,550.9315237083333,310.3062265,37.6425,37.7
Plants (植物),111.39586555555555,52.216967,3053.8055555555557,290.0,99.75833333333334,100.0,31.491666666666667,20.0,1498.5134122499999,628.4806255,37.679722222222225,36.489999999999995
Fungi (真菌),3.5025692,4.52304,44.8,12.0,95.6,96.9,3.46,0.8,40.5150722,37.749288,44.754000000000005,45.33
Others (其它),165.62940450000002,140.2156035,3967.4,204.0,94.92,99.6,3.8800000000000003,1.6,2021.8367307,1801.7857880000001,40.236000000000004,40.724999999999994
