Species,Gene_Function,Count
普通小麦 (Triticum aestivum - 六倍体),Histone acetyltransferase type B catalytic subunit,3
普通小麦 (Triticum aestivum - 六倍体),Cell division control protein 73,3
普通小麦 (Triticum aestivum - 六倍体),Dol-P-Man,3
普通小麦 (Triticum aestivum - 六倍体),Pescadillo,3
普通小麦 (Triticum aestivum - 六倍体),tRNA-dihydrouridine synthase,3
普通小麦 (Triticum aestivum - 六倍体),Clp1,3
普通小麦 (Triticum aestivum - 六倍体),GPI transamidase component PIG-T,3
普通小麦 (Triticum aestivum - 六倍体),Aspartyl/glutamyl-tRNA,3
普通小麦 (Triticum aestivum - 六倍体),Sec1-like protein,3
普通小麦 (Triticum aestivum - 六倍体),DNA methyltransferase 1-associated 1,3
普通小麦 (Triticum aestivum - 六倍体),Surfeit locus 1/Shy1,3
普通小麦 (Triticum aestivum - 六倍体),KRR1 small subunit processome component,3
普通小麦 (Triticum aestivum - 六倍体),Brix domain,3
普通小麦 (Triticum aestivum - 六倍体),Eukaryotic translation initiation factor 3 subunit H,3
普通小麦 (Triticum aestivum - 六倍体),Tetrapyrrole methylase,3
普通小麦 (Triticum aestivum - 六倍体),Signal recognition particle subunit SRP68,3
普通小麦 (Triticum aestivum - 六倍体),Golgi to ER traffic protein 4,3
普通小麦 (Triticum aestivum - 六倍体),Eukaryotic translation initiation factor 3 subunit F,3
普通小麦 (Triticum aestivum - 六倍体),Mitochondrial import inner membrane translocase subunit TIM44,3
普通小麦 (Triticum aestivum - 六倍体),ALG11 mannosyltransferase,3
普通小麦 (Triticum aestivum - 六倍体),MEMO1 family,3
普通小麦 (Triticum aestivum - 六倍体),F-actin-capping protein subunit alpha/beta,3
普通小麦 (Triticum aestivum - 六倍体),Ribosomal biogenesis NSA2 family,3
普通小麦 (Triticum aestivum - 六倍体),Atg6/Beclin,3
普通小麦 (Triticum aestivum - 六倍体),Lipoyltransferase/lipoate-protein ligase,3
普通小麦 (Triticum aestivum - 六倍体),Nuclear pore localisation protein NPL4,3
普通小麦 (Triticum aestivum - 六倍体),COP9 signalosome complex subunit 2,3
普通小麦 (Triticum aestivum - 六倍体),Electron transfer flavoprotein,3
普通小麦 (Triticum aestivum - 六倍体),Co-chaperone Hsc20,3
普通小麦 (Triticum aestivum - 六倍体),Coatomer subunit epsilon,3
普通小麦 (Triticum aestivum - 六倍体),HORMA domain,3
普通小麦 (Triticum aestivum - 六倍体),Ribosome maturation protein SBDS,3
普通小麦 (Triticum aestivum - 六倍体),TFIIH subunit Tfb4/GTF2H3,3
普通小麦 (Triticum aestivum - 六倍体),OPI10 family,3
