Species,Gene_Function,Count
香蕉 (Musa acuminata - 三倍体),Pre-mRNA-splicing factor  Cwf15/Cwc15,3
香蕉 (Musa acuminata - 三倍体),Ribosomal protein S23/S29,3
香蕉 (Musa acuminata - 三倍体),Transcription elongation factor SPT4,3
香蕉 (Musa acuminata - 三倍体),GPI ethanolamine phosphate transferase 1,2
香蕉 (Musa acuminata - 三倍体),Radical SAM,2
香蕉 (Musa acuminata - 三倍体),Phosphoacetylglucosamine mutase,2
香蕉 (Musa acuminata - 三倍体),Tetratricopeptide repeat-containing domain,2
香蕉 (Musa acuminata - 三倍体),Autophagy protein 5,2
香蕉 (Musa acuminata - 三倍体),Ubiquitin-like modifier-activating enzyme Atg7,2
香蕉 (Musa acuminata - 三倍体),RFT1,2
香蕉 (Musa acuminata - 三倍体),PIGA,2
香蕉 (Musa acuminata - 三倍体),Clp1,2
香蕉 (Musa acuminata - 三倍体),Aspartyl/glutamyl-tRNA,2
香蕉 (Musa acuminata - 三倍体),Transcription factor IIIC subunit 5,2
香蕉 (Musa acuminata - 三倍体),26S Proteasome non-ATPase regulatory subunit 6,2
香蕉 (Musa acuminata - 三倍体),Eukaryotic translation initiation factor 3 subunit B,2
香蕉 (Musa acuminata - 三倍体),N-acetylglucosaminyl transferase component,2
香蕉 (Musa acuminata - 三倍体),Mediator complex,2
香蕉 (Musa acuminata - 三倍体),DNA replication complex GINS protein PSF2,2
香蕉 (Musa acuminata - 三倍体),Trafficking protein particle complex subunit 2,2
香蕉 (Musa acuminata - 三倍体),SKI-interacting protein,2
香蕉 (Musa acuminata - 三倍体),Translocation protein Sec62,2
香蕉 (Musa acuminata - 三倍体),Trafficking protein particle complex subunit,2
